"validation_rank","gene_name","log2FoldChange","abs_log2FC","pvalue","padj","direction","validation_status","AUC","CI_lower","CI_upper","sensitivity","specificity","ROC_rank","stability_score","stability_rank","top10_stability","top20_stability","importance","ML_rank","baseMean","lfcSE","stat","score_AUC","score_sensitivity","score_specificity","score_stability","score_ML","score_DE","integrated_score","integrated_rank"
38,"RGCC",-0.0694106077031111,0.0694106077031111,0.416590270789611,0.43851607451538,"Down in Tumor","Not validated",0.425747332671174,0.357779949935991,0.493714715406356,0.198487712665406,0.864406779661017,26,0.0190820502677192,19,0,0.4,0.0108686740855852,15,2186.75509048975,0.0854441124313017,-0.812350971038739,0.425747332671174,0.198487712665406,0.864406779661017,0.538461538461538,0.641025641025641,0.0512820512820513,0.463676309059347,31
30,"EDNRB",-0.73970610307863,0.73970610307863,1.94854872737113e-09,2.59806496982817e-09,"Down in Tumor","Weakly validated",0.14180897760405,0.105396341832,0.1782216133761,0.00945179584120983,1,33,0.179558639968405,12,0.4,1,0.0288991303409803,11,794.151922520387,0.1232424684826,-6.00203900640847,0.14180897760405,0.00945179584120983,1,0.717948717948718,0.743589743589744,0.256410256410256,0.454818731725912,32
39,"S1PR1",-0.0544015854373834,0.0544015854373834,0.452796291748843,0.464406453075736,"Down in Tumor","Not validated",0.45725865880619,0.383351062108221,0.531166255504159,0.113421550094518,0.915254237288136,25,0.0229455325526041,17,0,0.4,0.00665695017872773,19,1126.16593054792,0.0724618884548055,-0.750761353277643,0.45725865880619,0.113421550094518,0.915254237288136,0.58974358974359,0.538461538461538,0.0256410256410257,0.451058449149667,33
31,"TEK",-0.468002597739623,0.468002597739623,3.62574577615097e-07,4.67838164664642e-07,"Down in Tumor","Weakly validated",0.175162602928455,0.134977009476355,0.215348196380554,0.0170132325141777,1,31,0.0489266333002521,14,0,1,0.020041200691821,12,524.565933416583,0.0919884146208012,-5.08762543271177,0.175162602928455,0.0170132325141777,1,0.666666666666667,0.717948717948718,0.205128205128205,0.443778533045138,34
35,"EPAS1",0.324963706468827,0.324963706468827,0.00127534706168194,0.00145753949906508,"Up in Tumor","Weakly validated",0.549677998141681,0.494994410329231,0.604361585954131,0.357277882797732,0.898305084745763,23,0.00795768697533149,28,0,0,0.00247406337520101,33,19901.7679749822,0.100874346852551,3.22147024102995,0.549677998141681,0.357277882797732,0.898305084745763,0.307692307692308,0.17948717948718,0.153846153846154,0.393662203250169,35
34,"RAMP3",-0.337285092708064,0.337285092708064,0.00031793551052385,0.00037404177708689,"Down in Tumor","Weakly validated",0.36285284034475,0.287084798745582,0.438620881943918,0.00378071833648393,1,28,0.00679024950354573,31,0,0,0.00490330290471684,23,625.726591597006,0.0936843115161441,-3.60023025466694,0.36285284034475,0.00378071833648393,1,0.230769230769231,0.435897435897436,0.17948717948718,0.342562369118711,36
27,"TMEM100",-1.62600489545735,1.62600489545735,1.58457363615512e-16,2.34751649800759e-16,"Down in Tumor","Validated",0.119861587260902,0.0799852888860139,0.159737885635789,0.0113421550094518,1,35,0.00824339529105825,27,0,0.2,0.00329850827004291,29,407.605843661871,0.197092634862383,-8.24995260017037,0.119861587260902,0.0113421550094518,1,0.333333333333333,0.282051282051282,0.358974358974359,0.290641079041002,37
25,"FCN3",-1.8445493553318,1.8445493553318,1.59324769462177e-27,2.54919631139484e-27,"Down in Tumor","Validated",0.148825734516677,0.0876917936252748,0.209959675408079,1,0,32,0.00333180602017389,33,0,0,0.00047959536781082,39,493.901905515928,0.169683943221772,-10.8705002978451,0.148825734516677,1,0,0.17948717948718,0.0256410256410257,0.41025641025641,0.269257715680451,38
32,"PRX",-0.487710080732694,0.487710080732694,1.07962386520385e-05,1.34952983150481e-05,"Down in Tumor","Weakly validated",0.2782993175483,0.216638151628649,0.339960483467952,0.0113421550094518,1,30,0.0046031734116183,32,0,0,0.00190841320998091,34,603.235493047319,0.110828614840702,-4.4005790511205,0.2782993175483,0.0113421550094518,1,0.205128205128205,0.153846153846154,0.230769230769231,0.266147947510288,39
37,"SEMA3G",-0.220875360415058,0.220875360415058,0.0315078840074863,0.0340625773053906,"Down in Tumor","Weakly validated",0.401797443209125,0.326557814576591,0.477037071841659,0.0113421550094518,1,27,0.00132230258680287,36,0,0,0.00144466657065478,35,417.483099854445,0.102704123825472,-2.1505987509362,0.401797443209125,0.0113421550094518,1,0.102564102564103,0.128205128205128,0.0769230769230769,0.255996837899853,40
