"gene_name","log2FoldChange","padj","Significance"
"AC006254.2",1.47042779899322,0.000502746801825521,"Upregulated"
"MIR5692A1",1.91327812663181,0.00050302399252817,"Upregulated"
"LINC02312",2.66603880578496,0.000503375683085161,"Upregulated"
"7SK",4.36695239385141,0.000504269716733347,"Upregulated"
"AC093730.1",3.68629750229694,0.000507707357667271,"Upregulated"
"AC112204.1",-2.03333178667322,0.00050862580494366,"Downregulated"
"AC087257.1",2.14403600654607,0.000509568689861654,"Upregulated"
"RN7SL546P",1.88926481811279,0.000509862306649298,"Upregulated"
"RNU1-36P",-1.04059073907456,0.000510859641828174,"Downregulated"
"AC044840.1",1.5032814117911,0.00051128266253408,"Upregulated"
"NLRP4",1.4519769097991,0.000512919250628126,"Upregulated"
"AC105429.2",2.10334009658587,0.000513132826931094,"Upregulated"
"KRTAP5-7",1.1239476488719,0.000513483091259358,"Upregulated"
"NDUFA8P1",3.14472012876213,0.000519708484463386,"Upregulated"
"AC027455.1",1.89703371689525,0.000519768956737094,"Upregulated"
"RFPL4B",2.31901651006403,0.000519946560062864,"Upregulated"
"HMGB1P7",2.69342786250011,0.000520361680140314,"Upregulated"
"AC026391.1",-1.21575781043862,0.000521751172526912,"Downregulated"
"AC016866.2",2.8168669504476,0.000521782578125202,"Upregulated"
"AC009878.1",1.30897256680507,0.000522637498413799,"Upregulated"
"AC113194.1",1.91085497169491,0.000523757857257244,"Upregulated"
"NCF4-AS1",1.24548311456409,0.000523986777944164,"Upregulated"
"PHBP3",1.1738876003805,0.000524327019578985,"Upregulated"
"AC104073.4",1.68611586802576,0.00052491397468065,"Upregulated"
"KLK14",1.32403496616304,0.000526118865704089,"Upregulated"
"AC079753.1",1.46531074524112,0.00052613704776498,"Upregulated"
"PAPPA-AS2",2.28035686415202,0.000529026969321204,"Upregulated"
"AL133279.1",-1.22135701846493,0.000529093789853996,"Downregulated"
"FAM133EP",1.63567872009309,0.00053035120297115,"Upregulated"
"ODF1",-1.54531160157522,0.000530779321848773,"Downregulated"
"AC096708.2",1.66968098015967,0.000531071333914127,"Upregulated"
"SNX9-AS1",2.81285857711052,0.000531337404601032,"Upregulated"
"LINC01312",2.11354418122445,0.000534770533514418,"Upregulated"
"FP326651.1",2.02281713281502,0.00053609339363749,"Upregulated"
"AC104058.1",2.07480938845233,0.000536823265651268,"Upregulated"
