"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0065004","protein-DNA complex assembly","79/4647","240/18870",0.00221873127654079,0.0203114993404507,0.015922613310533,"RAD51/MCM2/CDC45/CENPI/TAF7L/OIP5/ASF1B/GMNN/CENPA/CENPF/TAF1L/CENPK/HJURP/H1-3/H1-1/H2BC11/SOX9/DLGAP5/HEY2/CENPO/CENPE/NFKBIZ/H2BC1/CENPH/H4C8/MIS18A/CHAF1B/PADI4/CENPN/CDT1/CHAF1A/H3-4/H1-4/WNT10B/TSPYL6/H2BC4/H3C13/H1-5/KNTC1/H2BC21/H2BC13/H1-6/H1-2/H2AX/H1-0/TCF4/H4C3/H3C12/H4C11/H4C16/CENPW/H3C14/H2BC15/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H4C13/H3C11/H2BC9/H3C1/H4C9/H2BC3/H4C5/H4C4/H2BC7/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",79
"GO:0016358","dendrite development","77/4647","233/18870",0.00222075855960171,0.0203114993404507,0.015922613310533,"HECW1/ARHGAP33/ARHGAP44/CDKL5/MAPK8IP2/PREX2/FSTL4/CAMK2B/CTNNA2/NGEF/CAMK2A/TRPC5/SCARF1/SEMA3A/PAK3/IGSF9/NFATC4/MCF2/COBL/EZH2/NEURL1/TULP1/PHACTR1/NR2E1/DBN1/TLX2/NEUROG3/PREX1/NDP/PACSIN1/FLRT1/KIF1A/SULT4A1/SYNE1/DCLK1/EPHB2/ADGRB3/DAB2IP/KIAA0319/ITPKA/ZNF365/HECW2/PRICKLE1/DCDC2/TPBG/SDK1/DLG5/FEZF2/PTPRD/WNT7A/EPHB1/LRP8/DPYSL5/IGF2BP1/CHRNB2/ELAVL4/SLITRK5/FAT3/HPRT1/NSMF/MFSD2A/SDC2/GPR37/MAP6/SRGAP2C/FZD4/CDK5R1/EPHB3/PRKG1/DCC/LRRK2/ARC/FOXO6/LST1/SKOR2/SHANK3/SRCIN1",77
"GO:0043434","response to peptide hormone","132/4647","430/18870",0.00225794562441427,0.0206214712793221,0.0161656068600016,"GCLC/PDK4/PAX6/NR1H4/CPS1/INSRR/OTC/F7/GLP2R/PRKCQ/GAL/TGFBR3/CAMK2A/PRLH/ACTN2/EDN1/CEACAM1/OPRK1/CAD/CDC6/SORBS1/TRIB3/PHEX/TIMP1/ZNF106/CA2/RETN/FGF21/JAK3/PIK3R2/CAV2/CAV1/CXCL12/COL1A1/GNRHR/GAB1/TNS2/GHR/KAT2B/GCG/GRB14/REG1A/RPE65/SLC2A1/NR4A3/TEK/EGR1/SOCS2/KCNJ8/CRY2/CAT/DNAI1/EGR2/NR4A1/PCK1/EREG/IL1B/VGF/CDO1/AANAT/GDF15/SLC34A1/PPARG/INPP5K/KL/AGT/EDNRB/GH2/BRIP1/NR5A1/LHCGR/SLC24A4/TNFRSF11A/PKLR/AGTR1/AHSG/CCNA2/SRD5A1/PIK3R1/CRHBP/IGFBP1/PID1/GRIA1/ADCY8/GIP/BTG2/AGRP/TFF1/ALPL/SCNN1D/DDR2/INHBB/NKX6-1/KLF15/SPINK1/GPER1/FBP1/CYBB/TSHR/GJB2/GPT2/MC4R/SCNN1G/GPT/COL3A1/PCSK9/FOS/SP7/MZB1/PLA2G1B/PCSK1/TRIM72/UMODL1/ERFE/TH/AGTR2/C1QTNF12/SOCS3/TRARG1/INSIG1/PTPN1/SLC30A10/TRPV1/MAS1L/CPEB1/GCGR/VAMP2/TWIST2/BGLAP/PRKDC/ITGB3/NEFL",132
"GO:0042303","molting cycle","43/4647","117/18870",0.00227755598776398,0.0207400149336994,0.0162585357343023,"NSUN2/ALX4/CDH3/DLX3/FGFR2/GAL/PLA2G10/FGF10/TP63/TGFB2/FERMT1/FA2H/DKK4/LHX2/DKK1/MSX2/HOXC13/SOX21/SOX9/KRT17/KRT33B/SPINK5/WNT10A/TMEM79/TERT/FOXQ1/TRPV3/DNASE1L2/LDB2/WNT10B/KRT83/SOSTDC1/KRT27/DSG4/FOXE1/PER1/TSKU/KRT16/KRT14/EPS8L3/SOX18/LGR4/FOXI3",43
"GO:0042633","hair cycle","43/4647","117/18870",0.00227755598776398,0.0207400149336994,0.0162585357343023,"NSUN2/ALX4/CDH3/DLX3/FGFR2/GAL/PLA2G10/FGF10/TP63/TGFB2/FERMT1/FA2H/DKK4/LHX2/DKK1/MSX2/HOXC13/SOX21/SOX9/KRT17/KRT33B/SPINK5/WNT10A/TMEM79/TERT/FOXQ1/TRPV3/DNASE1L2/LDB2/WNT10B/KRT83/SOSTDC1/KRT27/DSG4/FOXE1/PER1/TSKU/KRT16/KRT14/EPS8L3/SOX18/LGR4/FOXI3",43
"GO:0010466","negative regulation of peptidase activity","49/4647","137/18870",0.00228333008330209,0.0207623735481655,0.0162760631243948,"LTF/DPEP1/CD44/SERPINB3/LAMP3/FETUB/TIMP3/SERPINA4/MMP9/AVP/CST4/EPPIN/TIMP1/SPOCK2/GAPDH/KNG1/HRG/DHCR24/CSTA/RECK/SERPINA7/SPINK2/SPINK5/SERPINE2/KLF4/ECM1/AHSG/SNCA/SERPING1/SERPINH1/SPOCK1/SERPINB7/SERPINA9/CST5/CST2/CST1/GAS6/SERPINA11/SERPINA5/SERPINB13/CARD16/SERPINB4/SERPINB5/MAGEA3/AQP1/SERPINB10/CARD18/ANXA8L1/ANXA8",49
"GO:0001707","mesoderm formation","30/4647","75/18870",0.00232124873047845,0.0210631914763163,0.0165118806515274,"HOXA11/EYA2/FGFR2/ITGA8/WNT11/FOXF1/GPI/DKK1/WNT3/TLX2/ITGB4/KLF4/SFRP2/TBX6/HMGA2/GJA1/WNT3A/TAL1/ITGA2/TBXT/TBX20/MESP1/SIX2/MESP2/TXNRD1/BMPR2/TRIM15/APELA/ITGB3/SCX",30
"GO:0007263","nitric oxide mediated signal transduction","15/4647","30/18870",0.00232651299714427,0.0210631914763163,0.0165118806515274,"NOS1/RASD1/CD36/AGT/PDE5A/PDX1/GUCY1A2/CBS/LOC102724560/NEUROD1/SPINK1/KCNC2/FPR1/NDNF/AGTR2",15
"GO:0035640","exploration behavior","15/4647","30/18870",0.00232651299714427,0.0210631914763163,0.0165118806515274,"ATP1A2/BRINP1/TNR/NDP/GAD1/CHL1/CRH/JPH3/GIP/LRRTM1/PRKCE/HTR1A/AGTR2/LRRK2/DPP4",15
"GO:0060021","roof of mouth development","35/4647","91/18870",0.00234250089197779,0.0211772913008859,0.0166013259137885,"DLX6/ALX4/TGFBR3/WNT11/TGFB2/ITGB8/DLX5/MEOX2/TCF21/SATB2/TBX2/TWIST1/EPHB2/TBX3/TFAP2A/FOXF2/LRRC32/FRAS1/COL2A1/CSRNP1/VAX1/WNT3A/WNT7A/PKDCC/MSX1/TGFBR2/OSR2/WFIKKN2/SOX11/FOXE1/EPHB3/CLDN5/INSIG1/ASPH/COL11A2",35
